,open,high,low,close,volume,time,BB,A,g_buy,g_sell,pos,trade
2025-06-04,57.64,59.26,57.33,57.79,33122,1748966400000,60.040512820512824,57.861000000000004,0,0,0,
2025-06-05,58.04,63.0,58.04,62.65,95234,1749052800000,60.446315628815626,61.302,1,0,0,
2025-06-06,62.440000000000005,62.730000000000004,60.050000000000004,60.160000000000004,59553,1749139200000,60.6551566951567,60.86200000000001,0,0,1,BUY
2025-06-09,60.58,60.85,58.61,58.96,65309,1749398400000,60.642863247863254,59.438,0,1,1,
2025-06-10,58.699999999999996,60.019999999999996,57.9,59.35,53273,1749484800000,60.20237077737078,59.14200000000001,0,0,0,SELL
2025-06-11,59.120000000000005,63.92,59.03,61.59,73804,1749571200000,60.407342287342296,61.073,1,0,0,
2025-06-12,61.0,61.97,58.4,58.75,63917,1749657600000,60.32669006919008,59.487,0,1,1,BUY
2025-06-13,58.21000000000001,59.300000000000004,57.120000000000005,58.61000000000001,64312,1749744000000,60.19400284900286,58.45,0,0,0,SELL
2025-06-16,57.440000000000005,60.95,57.13,59.25,69429,1750003200000,59.82117114367115,58.846000000000004,0,0,0,
2025-06-17,59.00000000000001,59.99,58.050000000000004,58.730000000000004,35707,1750089600000,59.68834045584046,58.842000000000006,0,0,0,
2025-06-18,58.760000000000005,59.06,57.660000000000004,58.25000000000001,26298,1750176000000,59.540219780219786,58.374,0,0,0,
2025-06-19,58.260000000000005,59.6,57.52,57.900000000000006,45172,1750262400000,59.25983719983721,58.104000000000006,0,0,0,
2025-06-20,58.150000000000006,58.190000000000005,55.7,55.730000000000004,43453,1750348800000,58.6671398046398,56.45700000000001,0,0,0,
2025-06-23,55.18,56.6,55.17,56.050000000000004,27461,1750608000000,58.261786731786735,55.843,0,0,0,
2025-06-24,55.99,58.160000000000004,55.45,56.050000000000004,72855,1750694400000,57.822601750101754,56.18900000000001,0,0,0,
2025-06-25,56.39,58.18,55.83,57.28,94024,1750780800000,57.76834147334147,57.047000000000004,0,0,0,
2025-06-26,57.0,58.190000000000005,56.13,56.6,57120,1750867200000,57.63299654049654,56.79200000000001,0,0,0,
2025-06-27,56.99,60.11,56.4,58.81,94214,1750953600000,57.834185999186,58.335,1,0,0,
2025-06-30,58.65,60.5,58.65,59.559999999999995,65855,1751212800000,58.0012851037851,59.38099999999999,0,0,1,BUY
2025-07-01,59.59,59.6,57.45,57.830000000000005,70186,1751299200000,58.12831501831502,58.321000000000005,0,0,1,
2025-07-02,57.96,57.980000000000004,56.06,56.47,46412,1751385600000,57.87447598697599,56.878,0,1,1,
2025-07-03,56.25,66.2,56.25,66.1,206161,1751472000000,58.97430199430199,63.154999999999994,1,0,0,SELL
2025-07-04,63.370000000000005,64.48,61.300000000000004,62.400000000000006,144283,1751558400000,59.64958791208791,62.69200000000001,0,0,1,BUY
2025-07-07,62.0,62.39,60.88,61.2,65798,1751817600000,60.29004884004884,61.447,0,0,1,
2025-07-08,61.98,65.36,61.61,64.5,126176,1751904000000,60.52926027676028,63.793000000000006,0,0,1,
2025-07-09,64.0,65.0,62.26,62.419999999999995,93386,1751990400000,60.795334757834766,62.977999999999994,0,0,1,
2025-07-10,62.0,63.04,59.6,60.1,90422,1752076800000,60.88642043142043,60.724000000000004,0,1,1,
2025-07-11,60.1,61.51,59.78,60.72,57732,1752163200000,60.84014346764347,60.580999999999996,0,0,0,SELL
2025-07-14,60.29,60.79,59.5,59.8,44577,1752422400000,60.418882783882786,59.967,0,0,0,
2025-07-15,59.4,60.269999999999996,58.9,58.98,52490,1752508800000,60.238249898249904,59.18499999999999,0,0,0,
